index,char,number
0, ,81
1,이,10
2,고,10
3,어,9
4,!,8
5,요,8
6,.,7
7,다,7
8,먹,6
9,야,6
10,나,5
11,오,5
12,보,4
13,는,4
14,해,4
15,하,4
16,세,4
17,그,3
18,니,3
19,자,3
20,연,3
21,?,3
22,베,3
23,운,3
24,스,3
25,늘,3
26,지,3
27,금,3
28,좀,3
29,꼭,2
30,게,2
31,후,2
32,아,2
33,육,2
34,동,2
35,물,2
36,떼,2
37,교,2
38,무,2
39,로,2
40,버,2
41,귀,2
42,글,2
43,생,2
44,마,2
45,들,2
46,열,2
47,뭐,2
48,빠,2
49,봐,2
50,한,2
51,잔,2
52,주,2
53,제,2
54,술,2
55,대,2
56,저,2
57,노,2
58,조,2
59,심,2
60,있,2
61,가,2
62,수,2
63,히,2
64,구,2
65,사,2
66,싶,2
67,~,2
68,^,2
69,렇,1
70,건,1
71,속,1
72,련,1
73,했,1
74,냐,1
75,별,1
76,곡,1
77,공,1
78,싹,1
79,박,1
80,쥐,1
81,참,1
82,형,1
83,기,1
84,쌍,1
85,찍,1
86,림,1
87,방,1
88,맞,1
89,멘,1
90,탈,1
91,간,1
92,결,1
93,국,1
94,칼,1
95,꺼,1
96,냄,1
97,매,1
98,맛,1
99,릴,1
100,옷,1
101,없,1
102,정,1
103,터,1
104,쇄,1
105,존,1
106,등,1
107,장,1
108,낼,1
109,라,1
110,만,1
111,크,1
112,끼,1
113,안,1
114,녕,1
115,광,1
116,학,1
117,녁,1
118,윤,1
119,쿡,1
120,메,1
121,리,1
122,카,1
123,딱,1
124,코,1
125,트,1
126,북,1
127,충,1
128,전,1
129,담,1
130,목,1
131,회,1
132,되,1
133,서,1
134,역,1
135,시,1
136,은,1
137,적,1
138,당,1
139,얒,1
140,배,1
141,프,1
142,할,1
143,까,1
144,설,1
145,에,1
146,쉬,1
147,었,1
148,으,1
149,달,1
150,려,1
151,겟,1
152,도,1
153,친,1
154,의,1
155,일,1
156,을,1
157,확,1
158,인,1
159,여,1
160,모,1
161,티,1
162,콘,1
163,워,1
164,치,1
165,류,1
166,명,1
167,현,1
168,바,1
169,입,1
170,환,1
171,감,1
172,",",1
